UniqueCount	AmbigCount
429	0
43202	13
8814	5
583	0
28	0
5281	2
10635	6
14721	6
102	0
4487	2
1267	10
8680	10
2298	1
300	2
2867	5
2225	3
11332	12
3451	22
1753	12
3495	1
2929	0
3809	0
16769	7
30479	9
3972	1
677	1
1964	0
1825	1
4751	8629
9732	4
5680	3
272	0
2154	4
280	1
5543	2
8937	20
6924	38
3254	23
2515	5
1662	0
1170	1
1341	3
1966	0
1633	0
897	1
4560	0
6095	0
405	0
6746	1
49427	12
9245	1
362	7
3	7
967	0
93	1
5243	2
5569	32
1323	33
1023	6
26026	11
9626	0
5581	0
6289	56
1971	60
5380	6
6100	0
2810	15
1946	16
10449	2
394	0
6054	0
269	0
604060	847
1509	12
7583	17
55248	1348
85505	1360
63383	407
61990	401
79092	40
91283	35
22963	35
33360	386
222043	524
36554	522
60682	1314
53877	1672
13058	875
66698	885
14538	718
18854	889
56003	1496
39607	1132
8283	640
17314	497
10797	262
11830	375
24551	375
11692	477
10813	312
30110	374
16527	516
29733	391
7473	247
24269	225
21774	153
1938	36
458	0
18107	500
21172	582
42576	344
57999	454
19972	193
4334	17
17639	130
3451	232
10130	128
25420	10
14	0
1805	7
9679	9
2917	0
1516	3
3488	24
2211	34
24967	33
3600	10
3126	13
2306	10
2022	4
4157	5
1781	0
442	0
1965	0
4749	0
152	0
3891	3
12658	3
1150	0
13592	2
2419	0
2514	0
20	0
6834	3
1084	1
2940	0
862	0
3809	2
647	0
4396	1
218	1
1790	0
43751	17
1387	1
43009	20
178	0
745	0
872	2
1167	1
19357	9
5574	1
4031	1
65	0
4514	3
1240	0
1357	0
1084	9
2034	25
3025	16
2551	1
338	0
57	0
33	0
2711	26
12425	31
936	45
1915	51
2039	36
5425	40
1239	12
3938	7
252	7
10301	41
3467	38
1620	19
2663	20
526	0
0	0
0	0
5129	1
8779	23
5569	30
544	6
2153	10
348	8
583	2
3777	3
656	1
1291	1
1070	3
1271	4
394	1
1659	12
743	11
1892	3
1717	1
534	0
1992	0
7780	5
3576	1
13372	8
5482	1
2754	0
1065	2
6964	6
702	3
1732	4
264	0
29860	30
22953	32
16767	6
10340	7
444	21
7342	16
197	7
214	7
3972	3
5018	2
1630	17
17693	25
7539	1
1679	0
8394	3
341	9
1918	20
1092	11
11804	20
13717	18
6835	2
1659	32
5306	32
12725	5
917	16
1611	16
4228	43
13808	48
1188	2
3266	1
289	1
99	0
16	0
64	0
304	0
1536	1
2362	11
994	14
5759	7
1639	9
781	16
4010	10
26837	11
1663	2
13533	7
2419	1
12740	3
1460	9
2552	12
22153	15
6412	2
2636	1
1013	210
983	0
33698	13
310	2
946	0
128	0
12916	8
5994	2
370	0
25549	4
1373	9
2513	9
1570	0
16357	12
12265	12
423	0
5454	0
2049	1
22249	2
1878	7
3861	9
75	0
8398	4
1572	50
369	48
3618	3
1803	2
1798	1
3514	0
1389	0
1140	2
545	3
2890	3
3704	3
1431	5
75719	100
9035	92
13652	99
12067	152
17903	76
9606	1
1263	1
13679	5
5109	21
3304	23
5201	4
1192	0
7133	2
3324	1
33109	7
1187	0
28	0
963	0
5180	1
11325	89
36050	97
4797	5
8240	56
2297	54
672	2
33	2
401	0
188	0
16	0
402	0
317	0
479	0
4053	0
618	4
382	4
180	0
569	7
578	7
1841	0
4373	2
8430	0
868	0
156	0
11830	7
1983	0
2405	2
2734	3
4146	2
11063	6
203	1
2151	1
19463	4
503	0
3337	0
251700	94
2818	0
8299	2
4908	4
10463	4
1836	0
240	0
72131	21
1468	0
9633	21
7474	18
511	37
7788	45
2398	1
6529	3
177	5
930	5
12959	76
6194	112
7279	126
9771	144
13582	99
11871	38
6636	2
176	2
871	3
4085	1
4353	3
6580	2
11640	3
1521	0
316	0
229	0
1692	0
10280	3
135	20
3906	0
544	0
1037	1
8074	102
12271	352
11624	471
3712	221
1687	0
2579	24
22087	41
2800	4
161	6
611	4
557	8
1714	8
909	6
1344	4
112928	51
2436	2
5852	1
28114	61
14297	54
18460	8
12698	58
6464	100
4196	44
2631	0
1509	1
4328	2
79739	2
3192	0
671	8
1850	10
1604	1
